## Rubric for Evaluating LLM Reasoning Abilities

**General Scoring Scale (applied to each prompt):**

* **3 points: Excellent:**  The response is completely correct, logically sound, and clearly articulated. It demonstrates a strong understanding of the reasoning type and provides a comprehensive and accurate answer.
* **2 points: Good:** The response is mostly correct and demonstrates a good understanding of the reasoning type. There might be minor flaws in logic, clarity, or completeness, but the core of the answer is accurate.
* **1 point: Fair:** The response is partially correct or relevant to the prompt, but contains significant flaws in logic, accuracy, or completeness. It shows a limited understanding of the reasoning type.
* **0 points: Poor:** The response is incorrect, irrelevant, or nonsensical. It demonstrates a lack of understanding of the reasoning type.

**Detailed Rubric by Reasoning Type:**

**1. Logical Deduction and Inference:**

| Prompt                                                                                   | Criteria for 3 points                                                                                                                                                                                             | Criteria for 2 points                                                                                                                                                                                              | Criteria for 1 point                                                                                                                                                                                               | Criteria for 0 points                                                                                                                                                                                                |
| Imagine gravity suddenly reversed for one minute. Describe the immediate consequences. | Provides a vivid and scientifically plausible description of the immediate chaos and danger, including people and objects being flung upwards, atmospheric changes, and potential structural damage. Demonstrates understanding of gravity's effects.           | Provides a good description of the immediate consequences, focusing on the upward movement of objects and people, but might lack some detail or scientific accuracy regarding broader effects (e.g., atmosphere). Still captures the immediate chaotic nature.                                | Provides a limited description, mentioning only the most obvious consequence (people floating up) without much detail or consideration of broader effects or the intensity of the situation. May be somewhat understated.                                                              | Provides a very basic, illogical, or nonsensical description, or fails to grasp the immediate and dramatic nature of reversed gravity. May suggest things would remain mostly normal or misunderstand gravity's function. |
| If the Earth was flat, how would navigation be different?                 | Provides a detailed response explaining how navigation would be fundamentally different, focusing on the lack of horizons, different star patterns, inability to circumnavigate, and reliance on different map projections and methods. Demonstrates understanding of spherical Earth's impact on navigation. | Provides a good response outlining key differences in navigation, focusing on the horizon, star patterns, and map projections, but may lack some depth or specific examples. Still captures the core navigational changes.                                                               | Provides a limited response, mentioning only one or two basic differences (e.g., "maps would be different," "no going around the world") without much elaboration or detailed explanation of navigational changes. May be superficial.                                                              | Provides a very basic, illogical, or nonsensical response, or fails to identify significant differences in navigation. May misunderstand the prompt or the impact of Earth's shape on navigation.                               |
| What if animals could talk? How would human-animal relationships change?   | Provides a thoughtful and nuanced response exploring complex changes in human-animal relationships across various domains: food, ethics, work, companionship, communication, and potentially societal structures. Demonstrates insightful consideration of ethical and social implications. | Provides a good response outlining significant changes in human-animal relationships, focusing on several key areas like ethics, food, and communication. May lack some depth or nuance in exploring all potential implications.                                                               | Provides a limited response, mentioning only one or two obvious changes (e.g., "we could talk to animals," "pets would be different") without much elaboration or deeper exploration of the complex relationship changes. May be simplistic.                                                       | Provides a very basic, illogical, or nonsensical response, or fails to grasp the potential for significant changes in human-animal relationships. May focus on trivial changes or misunderstand the prompt's scope.                                                                           |

**4. Abductive Reasoning:**

| Prompt                                                                 | Criteria for 3 points                                                                                                                                                                                                                                                | Criteria for 2 points                                                                                                                                                                                                                                                 | Criteria for 1 point                                                                                                                                                                                                                                                  | Criteria for 0 points                                                                                                                                                                                                                                                   |
|-------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| The lights are off and the refrigerator is silent. What are some possible explanations? | Provides multiple plausible and varied explanations, including a power outage, tripped circuit breaker, refrigerator malfunction, or someone intentionally turning things off. Demonstrates breadth of possible causes and common sense understanding of electrical appliances. | Provides a few plausible explanations, such as power outage and refrigerator malfunction, but might be less varied or miss some common causes. Still demonstrates reasonable abductive reasoning.                                                                   | Provides only one or two very obvious or limited explanations (e.g., "power outage," "fridge is broken") and lacks variety or exploration of other possibilities. May be somewhat simplistic.                                                                                | Provides illogical, irrelevant, or nonsensical explanations (e.g., "aliens turned off the power," "the fridge is sleeping"), or fails to offer any plausible explanations.                                                                                                 |
| The plants in the garden are wilting. What could be causing this?         | Provides multiple plausible explanations related to plant health and common garden issues, such as lack of water, too much sun, disease, pests, or nutrient deficiency. Demonstrates understanding of basic plant needs and garden problems.                      | Provides a few plausible explanations, such as lack of water and too much sun, but might be less varied or miss some common plant problems. Still demonstrates reasonable abductive reasoning in a gardening context.                                                      | Provides only one or two very obvious or limited explanations (e.g., "no water," "too hot") and lacks variety or exploration of other potential plant issues. May be somewhat simplistic.                                                                                   | Provides illogical, irrelevant, or nonsensical explanations (e.g., "the plants are tired," "bad weather") or fails to offer any plausible explanations related to plant health.                                                                                                  |
| You hear sirens outside your house. What might be happening?              | Provides multiple plausible and varied explanations for sirens, including emergency vehicles (police, fire, ambulance) responding to an incident, nearby accident, or drill/test. Demonstrates understanding of common siren usage.                                | Provides a few plausible explanations, such as police or ambulance, but might be less varied or miss some common siren scenarios. Still demonstrates reasonable abductive reasoning about emergency sounds.                                                                 | Provides only one or two very obvious or limited explanations (e.g., "police car," "ambulance") and lacks variety or exploration of other siren possibilities. May be somewhat simplistic.                                                                                | Provides illogical, irrelevant, or nonsensical explanations (e.g., "ice cream truck," "singing") or fails to offer any plausible explanations for sirens.                                                                                                                   |
| Your car won't start, and the lights are dim. What could be the problem? | Provides multiple plausible explanations related to car starting and electrical issues, such as dead battery, alternator problem, starter motor issue, or electrical system fault. Demonstrates understanding of basic car mechanics and electrical systems.         | Provides a few plausible explanations, such as dead battery and alternator, but might be less varied or miss some common car starting problems. Still demonstrates reasonable abductive reasoning in a car context.                                                        | Provides only one or two very obvious or limited explanations (e.g., "dead battery," "out of gas" - even though lights are dim) and lacks variety or exploration of other potential car problems. May be somewhat simplistic or miss key details.                               | Provides illogical, irrelevant, or nonsensical explanations (e.g., "car is tired," "wrong key") or fails to offer plausible explanations related to car mechanics.                                                                                                     |
| The coffee tastes bitter and burnt. What might have gone wrong during brewing? | Provides multiple plausible explanations related to coffee brewing errors, such as over-extraction, burnt coffee grounds, using too much coffee, or using old/bad coffee. Demonstrates understanding of coffee brewing process and common mistakes.             | Provides a few plausible explanations, such as over-extraction and burnt grounds, but might be less varied or miss some common brewing errors. Still demonstrates reasonable abductive reasoning about coffee taste.                                                              | Provides only one or two very obvious or limited explanations (e.g., "burnt coffee," "too strong") and lacks variety or exploration of other brewing mistakes. May be somewhat simplistic or lack brewing knowledge.                                                        | Provides illogical, irrelevant, or nonsensical explanations (e.g., "magic," "bad water") or fails to offer plausible explanations related to coffee brewing.                                                                                                                  |

**5. Analogical Reasoning:**

| Prompt                                         | Criteria for 3 points                                                                                                                                                                                                                                    | Criteria for 2 points                                                                                                                                                                                                                                     | Criteria for 1 point                                                                                                                                                                                                                                      | Criteria for 0 points                                                                                                                                                                                                                                       |
|-------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| A doctor is to health as a teacher is to what?    | Correctly answers "education," "knowledge," "learning," or similar concept directly related to the purpose and outcome of a teacher's role in analogy to a doctor's role with health.                                                                  | Answers a related but slightly less direct concept, such as "students," "school," or "information." Still demonstrates an understanding of the analogical relationship but might be less precise.                                                                | Answers a weakly related or tangential concept, such as "books," "classroom," or "exams." Shows a limited understanding of the core analogy or provides a very general association.                                                                   | Answers an incorrect, irrelevant, or nonsensical concept (e.g., "sick," "hospital," "desk"). Demonstrates a failure to understand the analogical relationship.                                                                                                |
| A map is to territory as a recipe is to what?    | Correctly answers "dish," "meal," "food," "cooking," or similar concept directly related to the outcome and purpose of a recipe in analogy to a map's representation of territory.                                                                     | Answers a related but slightly less direct concept, such as "ingredients," "kitchen," or "steps." Still demonstrates an understanding of the analogical relationship but might be less precise.                                                                | Answers a weakly related or tangential concept, such as "cookbook," "restaurant," or "grocery store." Shows a limited understanding of the core analogy or provides a very general association.                                                               | Answers an incorrect, irrelevant, or nonsensical concept (e.g., "country," "directions," "paper"). Demonstrates a failure to understand the analogical relationship.                                                                                             |
| A seed is to a plant as an egg is to what?      | Correctly answers "animal," "chicken," "bird," "offspring," or similar concept directly related to the life cycle stage and outcome of an egg in analogy to a seed's role in plant growth.                                                              | Answers a related but slightly less direct concept, such as "baby," "hatching," or "nest." Still demonstrates an understanding of the analogical relationship but might be less precise.                                                                   | Answers a weakly related or tangential concept, such as "shell," "breakfast," or "farm." Shows a limited understanding of the core analogy or provides a very general association.                                                                    | Answers an incorrect, irrelevant, or nonsensical concept (e.g., "tree," "flower," "soup"). Demonstrates a failure to understand the analogical relationship.                                                                                              |
| A library is to books as a museum is to what?    | Correctly answers "artifacts," "exhibits," "art," "history," "collections," or similar concept directly related to the contents and purpose of a museum in analogy to a library's contents of books.                                                       | Answers a related but slightly less direct concept, such as "history," "culture," "objects," or "information." Still demonstrates an understanding of the analogical relationship but might be less precise.                                                                | Answers a weakly related or tangential concept, such as "building," "visitors," or "knowledge." Shows a limited understanding of the core analogy or provides a very general association.                                                                   | Answers an incorrect, irrelevant, or nonsensical concept (e.g., "quiet," "reading," "paper"). Demonstrates a failure to understand the analogical relationship.                                                                                              |
| Happiness is to joy as sadness is to what?      | Correctly answers "grief," "sorrow," "misery," "despair," or similar concept representing a more intense or profound form of sadness, mirroring the intensity relationship between happiness and joy. Demonstrates understanding of nuanced emotional scales. | Answers a related but slightly less intense concept, such as "unhappiness," "disappointment," or "blues." Still demonstrates an understanding of the analogical relationship but might not capture the intensity nuance.                                             | Answers a weakly related or tangential concept, such as "crying," "emotions," or "bad feelings." Shows a limited understanding of the nuanced emotional relationship or provides a very general association.                                                        | Answers an incorrect, irrelevant, or nonsensical concept (e.g., "happy," "anger," "color"). Demonstrates a failure to understand the analogical relationship or emotional concepts.                                                                                 |

**6. Causal Reasoning:**

| Prompt                                                                              | Criteria for 3 points                                                                                                                                                                                                                                                      | Criteria for 2 points                                                                                                                                                                                                                                                       | Criteria for 1 point                                                                                                                                                                                                                                                        | Criteria for 0 points                                                                                                                                                                                                                                                         |
|--------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| What are the likely effects of increased carbon emissions on global temperatures?     | Accurately describes the greenhouse effect and explains how increased carbon emissions trap heat, leading to global warming and rising temperatures. May also mention related effects like climate change, sea level rise, and extreme weather. Demonstrates scientific understanding. | Explains the basic link between carbon emissions and rising temperatures, mentioning the greenhouse effect, but might lack detail or breadth in describing related climate change impacts. Still conveys the core causal relationship.                                                 | Provides a very simplified or incomplete explanation, stating that carbon emissions cause warming but without explaining the mechanism (greenhouse effect) or broader consequences. May be too superficial.                                                                 | Provides an incorrect, irrelevant, or nonsensical explanation (e.g., "carbon emissions cool the planet," "they cause rain"), or fails to identify a causal link between carbon emissions and temperature.                                                               |
| What are the causes of traffic congestion in cities?                                   | Provides multiple plausible and varied causes of traffic congestion, such as rush hour, accidents, road work, poor infrastructure, high population density, and special events. Demonstrates a broad understanding of urban traffic dynamics.                                   | Provides a few plausible causes, such as rush hour and accidents, but might be less varied or miss some common congestion factors. Still demonstrates reasonable causal reasoning about traffic.                                                                            | Provides only one or two very obvious or limited causes (e.g., "too many cars," "accidents") and lacks variety or exploration of other contributing factors. May be somewhat simplistic.                                                                                 | Provides illogical, irrelevant, or nonsensical causes (e.g., "birds blocking the road," "city is too small") or fails to offer plausible explanations for traffic congestion.                                                                                                 |
| If a country increases its investment in renewable energy, what are the potential benefits? | Provides multiple significant and varied benefits of renewable energy investment, such as reduced carbon emissions, energy independence, job creation in green industries, cleaner air and water, and long-term cost savings. Demonstrates understanding of energy policy and environmental benefits. | Provides a few key benefits, such as reduced emissions and energy independence, but might be less varied or miss some important economic or environmental advantages. Still conveys the core positive impacts of renewable energy investment.                                      | Provides only one or two very obvious or limited benefits (e.g., "clean energy," "less pollution") and lacks variety or exploration of broader advantages. May be somewhat simplistic or miss key economic aspects.                                                               | Provides illogical, irrelevant, or nonsensical benefits (e.g., "more traffic," "cheaper gasoline") or fails to identify plausible positive outcomes of renewable energy investment. May misunderstand renewable energy's purpose.                                                |
| What are the consequences of sleep deprivation on cognitive function?                | Accurately describes multiple negative consequences of sleep deprivation on cognitive function, such as impaired memory, reduced attention span, slower reaction time, difficulty concentrating, and poor decision-making. Demonstrates understanding of sleep science and cognitive effects. | Describes several negative cognitive effects, such as reduced concentration and memory problems, but might lack detail or breadth in describing the full range of cognitive impairments. Still conveys the core negative impact of sleep deprivation on thinking.                     | Provides a very simplified or incomplete description, stating that sleep deprivation is bad for thinking but without elaborating on specific cognitive consequences. May be too superficial.                                                                                 | Provides an incorrect, irrelevant, or nonsensical description (e.g., "sleep deprivation makes you smarter," "improves memory"), or fails to identify negative cognitive consequences of sleep loss.                                                                        |
| What are the likely effects of automation on the job market?                        | Provides a nuanced and balanced response considering both positive and negative effects of automation on the job market, such as job displacement in some sectors, creation of new jobs in others, need for retraining, potential for increased productivity and economic shifts. Demonstrates understanding of economic and labor market dynamics. | Provides a response focusing primarily on either positive or negative effects, such as job displacement OR new job creation, but might not fully acknowledge the complexity and dual nature of automation's impact. Still conveys some key effects.                                    | Provides a very simplistic or one-sided view, focusing only on job losses or only on new jobs, without acknowledging the broader and more complex shifts in the job market. May be too narrow in perspective.                                                               | Provides an incorrect, irrelevant, or nonsensical response (e.g., "automation will create more farmers," "no jobs will change"), or fails to identify plausible effects of automation on the job market. May misunderstand automation's nature or economic impact.                  |

**7. Spatial Reasoning:**

| Prompt                                                                                             | Criteria for 3 points                                                                                                                                                                                                                                                                                       | Criteria for 2 points                                                                                                                                                                                                                                                                                        | Criteria for 1 point                                                                                                                                                                                                                                                                                         | Criteria for 0 points                                                                                                                                                                                                                                                                                          |
|------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| If you are facing east and turn 180 degrees, which direction are you facing?                          | Correctly answers "West" and demonstrates understanding of cardinal directions and 180-degree turns.                                                                                                                                                                                                | Answers "West" but explanation is unclear or missing, but the answer is still correct.                                                                                                                                                                                                               | Answers incorrectly or provides a confused or partially correct answer (e.g., "South," "North," "Backwards"). Shows some confusion with directions or turns.                                                                                                                              | Answers incorrectly with a nonsensical direction or response (e.g., "Up," "Inside," "Banana"). Demonstrates a lack of understanding of basic directions.                                                                                                                                 |
| Describe the spatial relationship between the sun, the Earth, and the moon during a solar eclipse.   | Accurately describes the alignment: Moon is directly between the Sun and Earth, blocking the Sun's light from reaching part of Earth. Mentions the order and the blocking aspect. Demonstrates understanding of celestial body positions during an eclipse.                                      | Describes the general alignment but might be slightly less precise or miss some detail (e.g., "Moon in front of the sun," "Earth behind the moon"). Still conveys the core spatial arrangement during a solar eclipse.                                                                         | Provides a partially correct or confused description, getting the order wrong or misrepresenting the blocking aspect (e.g., "Sun between Earth and Moon," "Earth blocks the sun"). Shows some confusion about the spatial relationships.                                                               | Provides an incorrect, irrelevant, or nonsensical description (e.g., "Sun and Moon are inside the Earth," "They are all next to each other"). Demonstrates a lack of understanding of basic celestial body positions.                                                               |
| Imagine a cube. How many vertices does it have?                                                      | Correctly answers "8" and demonstrates understanding of vertices as corners and the geometry of a cube.                                                                                                                                                                                           | Answers "8" but explanation is unclear or missing, or provides a slightly less clear explanation but still arrives at the correct number.                                                                                                                                                             | Answers incorrectly with a number close to correct or a plausible but wrong number (e.g., "6," "12"). Shows some understanding of vertices but inaccurate counting or visualization.                                                                                                   | Answers incorrectly with a very wrong or nonsensical number (e.g., "1," "100," "Zero"). Demonstrates a lack of understanding of vertices or cube geometry.                                                                                                                             |
| If a square is inside a circle, and the circle is inside a triangle, describe the relative positions of these shapes. | Accurately describes the nested relationship: Square is innermost, inside the circle, which is inside the triangle. Clearly articulates the hierarchical spatial containment. Demonstrates understanding of shape nesting.                                                            | Describes the nested relationship but might be slightly less clear or use less precise language (e.g., "square in circle, circle in triangle"). Still conveys the core nested arrangement.                                                                                                        | Provides a partially correct or confused description, getting the order wrong or misrepresenting the containment (e.g., "Circle in square, triangle around circle," "They are all overlapping"). Shows some confusion about spatial relationships.                                               | Provides an incorrect, irrelevant, or nonsensical description (e.g., "Triangle is inside the square," "They are all separate"). Demonstrates a lack of understanding of basic spatial containment.                                                                                              |
| Visualize a spiral staircase. Describe the path you would take to ascend it.                        | Accurately describes the upward, circular, and inward/outward path, mentioning movement both upwards and in a curve around a central point. Captures the key spatial characteristics of ascending a spiral staircase.                                                                         | Describes the path as upward and circular, but might miss the inward/outward aspect or be less detailed in describing the curve. Still conveys the basic spiral nature of the path.                                                                                                                   | Provides a partially correct or very simplified description, mentioning only upward movement or just circular movement without combining them or capturing the spiral nature. Shows limited spatial visualization.                                                                | Provides an incorrect, irrelevant, or nonsensical description (e.g., "Straight up," "Sideways," "Downwards"). Demonstrates a lack of spatial visualization or understanding of spiral staircases.                                                                                                  |

**8. Temporal Reasoning:**

| Prompt                                                                 | Criteria for 3 points                                                                                                                                                                                                                                         | Criteria for 2 points                                                                                                                                                                                                                                          | Criteria for 1 point                                                                                                                                                                                                                                           | Criteria for 0 points                                                                                                                                                                                                                                            |
|-------------------------------------------------------------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| What season comes after spring?                                          | Correctly answers "Summer" and demonstrates understanding of the seasonal cycle.                                                                                                                                                               | Answers "Summer" but explanation is unclear or missing, but the answer is still correct.                                                                                                                                                                              | Answers incorrectly with a season adjacent to summer in the cycle (e.g., "Autumn," "Winter"). Shows some understanding of seasons but incorrect sequence.                                                                                                   | Answers incorrectly with a season far out of sequence or a nonsensical answer (e.g., "Tuesday," "Carrot," "Before spring"). Demonstrates a lack of understanding of seasons.                                                                                              |
| If a train departs at 10:00 AM and travels for 5 hours, when will it arrive? | Correctly answers "3:00 PM" or "15:00" and demonstrates accurate time calculation and addition.                                                                                                                                                  | Answers with a slightly incorrect arrival time but demonstrates understanding of time addition and the concept of duration (e.g., "2:00 PM," "4:00 PM"). Minor calculation error.                                                                                             | Answers with a significantly incorrect arrival time, showing a flaw in time calculation or misunderstanding of duration (e.g., "5:00 PM," "1:00 PM"). Major calculation error or conceptual misunderstanding.                                                      | Answers incorrectly with a nonsensical time or response (e.g., "10:00 AM," "Yesterday," "Train station"). Demonstrates a lack of understanding of time duration and calculation.                                                                                            |
